,,clef,Nom,Finalité immédiate,Schème,détail,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11
Placement,1,op_pt_libre,placer point libre,Placer un point sur la page,"Avec point, placer un point à un endroit quelconque de la page","placement pointeur sur Point, clic pour selectionner Point, déplacement, clic pour poser le point",1,0,0,1,0,0,0,1,0,0,0
Point,2,op_pt_obj,placer un point sur objet,Placer un point sur un objet,"Avec point, placer un point à un endroit spécifique sur un object géométrique","placement pointeur sur Point, clic pour selectionner Point, déplacement, clic pour poser le point sur l'endroit donné",1,0,0,0,1,0,0,1,0,0,0
,3,op_pt_inter,placer un point sur une intersection (perception),Placer un point à l’intersection de deux objets géométriques,"Avec point, placer un point à l'intersection de deux objet géométrique","placement pointeur sur point, clic pour selectionner Point, déplacement, clic pour poser le point sur l'endroit donné",1,0,0,0,1,0,0,1,0,0,0
Intersection,4,op_pt_inter_out_inter,placer un point intersection avec outil intersection,Placer un point d'intersection entre deux droites ou deux segments,"Avec intersection,mettre une des droites en surbrillance, cliquer dessus, déplacer la souris vers l'autre droite, quand elle est en surbrillance, cliquer, le point d'intersection se place entre les deux droites","placement pointeur sur flèche pour ouvrir la pile, déplacement sur Intersection, clic pour sélectionner l'outil, viser le premier objet géométrique, se placer dessus, cliquer quand il est en surbrillance, déplacer la souris sur le deuxième objet, cliquer quand il est en surbrillance,",2,0,0,0,2,0,0,1,0,0,0
Milieu,5,op_pt_milieu_perc,placer un point au milieu d’un segment (perception),placer un point au milieu à la volée,"avec l'outil point, placer un point au milieu (contrôle visuel) d'un segment",I8 I5 I1,1,,,,1,,,1,,,
,6,op_pt_milieu_out_milieu,placer le point milieu du segment avec outil milieu,"avec outil milieu, placer le milieu","avec outil milieu, placer le point au milieu d'un segment",I8 I5 I1 I5 I1,2,,,,2,,,1,,,
,7,op_ajust_obj,Ajuster la position d'un objet,Ajuster la position d'un objet dans l'espace de travail,"Avec la souris sélectionner l'objet, maintenir le clic enfoncé et déplacer l'objet, relacher la souris",I5 I3 I7,,,1,,1,0,1,,1,1,1
Nombre,8,op_nbre,Nombre (par nombre),Ecrire un nombre,"Avec nombre, placer la case dans l'espace de travail et inscrire un nombre",I8 I1 (pour écrire le nombre assimilation à un clic) ,1,,,,,,,1,,,
Texte,9,op_nbre_txt,Nombre (par texte),Ecrire un nombre avec outil texte,"Avec texte, placer la case dans l'espace de travail et inscrire un nombre. Procédure qui ne fonctionne pas",I8 I1 (pour écrire lettre assimilation à un clic) ,1,,,,,,,1,,,
Curseur,10,op_curseur,Curseur,Placer un curseur,"Avec curseur, placer un curseur sur l'espace ensuite ajuster le curseur à l'aide de la souris",I8 I5 I3 I7,,,1,,1,,1,1,1,1,1
