,,Clef,Nom,Assertion 1,Assertion 2,détail des opéraions pour calcul des deme,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
SEGMENT,1,cont_inst_seg,Contrôle instrumental,Contrôle instrumental,je contrôle l’alignement avec la règle,10 (perception relation euclidienne),,,,,,,,,,,
,2,cont_visu_seg,Contrôle visuel segment,Contrôle visuel,je vois que c’est « droit »,9 (perception distance),,,,,,,,,,,
,3,cont_theo_seg,Contrôle théorique segment,je sais qu’un segment est un « bout » de droite,je contrôle l’alignement,?,,,,,,,,,,,
PERPENDICULAIRE,4,cont_perp_form,Perpendiculaire forme angle droit,Construire une perpendiculaire,"C'est une forme d'angle droit, organisation horizontale ou verticale",10 (perception relation euclidienne),,,,,,,,,,,
,5,cont_perp_form_outil,perpendiculaire forme avec outil,Construire une forme perpendiculaire,C'est ce qu'on trace avec un outil sans nécessairement sélectionner les objets impliqués dans l'énoncé,10 (perception relation euclidienne),,,,,,,,,,,
,6,cont_perp_a_droite,perpendiculaire point droite,Une forme perpendiculaire,Utilise l'outil perpendiculaire en cliquant sur A et sur (d),10 (perception relation euclidienne),,,,,,,,,,,
,7,cont_perp_form_outil_perp,Perception visuelle (utile ? Redondant avec contrôle visuel?),construire une forme perpendiculaire à une droite par un point,,10 (perception relation euclidienne),,,,,,,,,,,
,8,cont_theo_perp,Contrôle théorique perpendiculaire je sais qu’une perpendiculaire forme un angle a 90,Une droite est perpendiculaire à une autre si l'angle formé entre les deux droites est un angle à 90°,"La mesure de l'angle formé est de 90°, je peux affirmer que les droites sont perpendiculaires.",?,,,,,,,,,,,
,9,cont_visu_perp,Contrôle visuel perp,,,,,,,,,,,,,,
,10,cont_inst_perp,Contrôle instrumental perp,,Je peux le vérifier en utilisant l’équerre,10 (perception relation euclidienne),,,,,,,,,,,
CARRE,11,cont_carre_cote,Carré 4 côtés égaux,Un carré,C'est une forme qui a 4 côtés égaux,,,,,,,,,,,,
,12,cont_carre_angle,Carré 4 angles égaux,Un carré,C'est une forme qui a 4 angles égaux,,,,,,,,,,,,
,13,cont_carre_diag,Carré par diagonale,Un carré,C'est un quadrilatère dont les diagonales sont perpendiculaires et se coupent en leur milieu,,,,,,,,,,,,
,14,cont_carre_sym,Carré par axe de symétrie,Un carré,C'est un quadrilatère dont les diagonales sont l'axe de symétrie,,,,,,,,,,,,
,15,cont_theo_carr,Contrôle théorique carré,un carré à 4 côtés de même longueur et 4 angles droits,,?,,,,,,,,,,,
,16,cont_visu_carr,Contrôle visuel carré,un carré à une forme de carré,,11 (perception forme géométrique) ,,,,,,,,,,,
,17,cont_inst_carr1,Contrôle instrumental carré1,un carré à 4 angles droits et 4 cotés égaux,contrôle la mesure des côtés,,,,,,,,,,,,
,18,cont_inst_carr2,Contrôle instrumental carré2,un carré à 4 angles droits et 4 cotés égaux,contrôle des angles droits avec équerre,,,,,,,,,,,,
,19,cont_inst_carr3,Contrôle instrumental carré3,un carré à 4 angles droits et 4 cotés égaux,contrôle des angles droits avec mesure angle,,,,,,,,,,,,
CERCLE,20,cont_cercle_point,cercle points,Cercle par deux points,,,,,,,,,,,,,
,21,cont_cercle_rayon,cercle rayon,Cercle par rayon,,,,,,,,,,,,,
,22,cont_theo_cerc,Contrôle théorique cercle,,,?,,,,,,,,,,,
,23,cont_visu_cerc,Contrôle visuel cercle,cercle est une forme ronde,ça ressemble à un cercle,11 (perception forme géométrique) ,,,,,,,,,,,
,24,cont_inst_cerc,Contrôle instrumental cercle,,,,,,,,,,,,,,
