Unnamed: 0,Unnamed: 1,Clef,Nom,Assertion 1,Assertion 2,détail des opéraions pour calcul des deme,deme_clic_simple,deme_double_clic,deme_clic_maintenu,deme_depl_libre,deme_depl_pointeur_point,deme_depl_objet_libre,deme_depl_objet_point,deme_selec_outil,deme_perc_metrique,deme_perc_euclidienne,deme_perc_forme
SEGMENT contrôle alignement,1,cont_inst_seg,Contrôle instrumental alignement segment,Je sais qu'un segment est constitué d'au moins deux points alignés,Je contrôle l’alignement entre deux points du segment avec segment,,,,,,,,,,,,
,2,cont_inst_seg_decim,Contrôle instrumental alignement segment avec Décimètre,Je sais qu'un segment est constitué d'au moins deux points alignés,Je contrôle l’alignement entre deux points du segment avec avec Décimètre,,,,,,,,,,,,
,3,cont_visu_seg,Contrôle visuel alignement segment,Je sais qu'un segment est constitué d'au moins deux points alignés,je vois que c’est « droit »,,,,,,,,,,1,,
,4,cont_theo_seg,Contrôle théorique alignement segment,je sais qu’un segment est un « bout » de droite,"je contrôle l’alignement ou je construits un segment en utilisant l'outil Segment pour placer 2 points alignés, espacés.",,,,,,,,,,,,
SEGMENT contrôle mesure ,5,cont_visu_mesu_dist,Contrôle visuel mesure segment,Je dois contrôler la mesure de 5 cm du segment,Je vois que les extrémités du segment construit correspondent à l'écartement de 5 cm obtenu en mobilisant l'outil distance pour la construction,,,,,,,,,,1,,
,6,cont_visu_mesu_jugé,Contrôle visuel mesure segment,Je dois contrôler la mesure de 5 cm du segment,J'effectue un contrôle de la mesure au jugé,,,,,,,,,,1,,
,7,cont_visu_mesu_lect,Contrôle visuel mesure segment,Je dois contrôler la mesure de 5 cm du segment,"J'effectue un contrôle de la mesure en lisant la mesure affichée par décimètre, distance ou longueur",,,,,,,,,,,,
,8,cont_instr_mesu_deci,Contrôle instrumental de la mesure du segment avec décimètre,Je dois contrôler la mesure de 5 cm du segment,J'utilise décimètre pour mesurer le segment,,,,,,,,,,,,
,9,cont_instr_mesu_dist,Contrôle instrumental de la mesure du segment avec distance,Je dois contrôler la mesure de 5 cm du segment,J'utilise distance pour mesurer le segment,,,,,,,,,,,,
,10,cont_instr_mesure_longueur,Contrôle instrumental de la mesure du segment avec longueur,Je dois contrôler la mesure de 5 cm du segment,J'utilise longueur pour mesurer le segment,,,,,,,,,,,,
PERPENDICULAIRE ,11,cont_theo_perp,Contrôle théorique perpendiculaire je sais qu’une perpendiculaire forme un angle a 90°,Une droite est perpendiculaire à une autre si l'angle formé entre les deux droites est un angle à 90°,"La mesure de l'angle formé est de 90°, je peux affirmer que les droites sont perpendiculaires.",,,,,,,,,,,,
,12,cont_theo_perp_form,Contrôle théorique perpendiculaire je sais qu’une perpendiculaire forme un angle a 90°,Une droite est perpendiculaire à une autre si l'angle formé entre les deux droites est un angle à 90°,"C'est une forme d'angle droit, organisation horizontale ou verticale",,,,,,,,,,,,
,13,cont_visu_perp,Contrôle visuel perpendiculaire je sais qu’une perpendiculaire forme un angle a 90°,Une droite est perpendiculaire à une autre si l'angle formé entre les deux droites est un angle à 90°,"La mesure de l'angle formé est de 90°, je peux affirmer que les droites sont perpendiculaires si je ""vois"" que l'angle est un angle à 90°.",,,,,,,,,,,1,
,14,cont_inst_perp,Contrôle instrumental perpendiculaire je sais qu’une perpendiculaire forme un angle a 90°,Une droite est perpendiculaire à une autre si l'angle formé entre les deux droites est un angle à 90°,La vérification avec l’équerre montre un angle de 90°,,,,,,,,,,,1,
CARRE,15,cont_theo_carr_egalité,Contrôle théorique carré par cotés et angles,un carré à 4 côtés de même longueur et 4 angles droits,"La mesure de deux angles consécutifs est de 90° etles côtés sont de même longueur, je peux affirmer que c'est un carré,",,,,,,,,,,,,
,16,cont_theo_carre_sym,Contrôle théorique carré par axe de symétrie,C'est un quadrilatère dont les diagonales sont l'axe de symétrie,"Les diagonales sont l'axe de symétrie, je peux affirmer que c'est un carré,",,,,,,,,,,,,
,17,cont_theo_carre_diag,Contrôle théorique carré par diagonale,C'est un quadrilatère dont les diagonales sont perpendiculaires et se coupent en leur milieu,"Les diagonales sont perpendiculaires et se coupent en leur milieu, je peux affirmer que c'est un carré,",,,,,,,,,,,,
,18,cont_visu_carr,Contrôle visuel carré,un carré à une forme de carré,Je vois que le carré à une forme de carré,,,,,,,,,,,,1
CARRE contrôle longueur côté,19,cont_inst_cot_car_long,Contrôle instrumental longueur cotés carré avec Longueur,un carré à 4 angles droits et 4 cotés égaux,"Il y a une égalité de mesure des 4 côtés,",,,,,,,,,,,,
,20,cont_inst_cot_car_dec,Contrôle instrumental longueur cotés carré avec Decimètre,un carré à 4 angles droits et 4 cotés égaux,"Il y a une égalité de mesure des 4 côtés,",,,,,,,,,,,,
CARRE contrôle angle,21,cont_inst_ang_car_equ,Contrôle instrumental angle avec Equerre,un carré à 4 angles droits et 4 cotés égaux,Il y a une égalité de mesure des 4 angles,,,,,,,,,,,,
,22,cont_inst_ang_car_rap,Contrôle instrumental angle avec Rapporteur,un carré à 4 angles droits et 4 cotés égaux,Il y a une égalité de mesure des 4 angles,,,,,,,,,,,,
