;;Clef;Nom;Finalité immédiate;Schème;Détail des actions réalisées -sert à définir les DEME qui interviennent;deme_clic_simple;deme_clic_objet;deme_double_clic;deme_clic_maintenu;deme_depl_libre;deme_depl_pointeur_point;deme_perc_metrique;deme_perc_euclidienne;deme_perc_forme;;
Opérateurs  transversaux;;;;;;;;;;;;;;;;;
Point;1;op_pt_libre;placer point libre;Placer un point sur la page;Avec point, placer un point à un endroit quelconque de la page;placement pointeur sur Point I6, clic I2  pour selectionner Point, déplacement I5, clic I1 pour poser le point;1;1;0;0;1;1;0;0;0;;
Point;2;op_pt_obj;placer un point sur objet;Placer un point sur un objet;Avec point, placer un point à un endroit spécifique sur un object géométrique;placement pointeur sur Point I6, clic I2 pour selectionner Point, déplacement vers un point précis I6, clic I2 pour poser le point sur l'endroit donné;0;2;0;0;0;2;0;0;0;;
Point;3;op_pt_inter;placer un point sur une intersection (perception);Placer un point à l’intersection de deux objets géométriques;Avec point, placer un point à l'intersection de deux objet géométrique;placement pointeur sur point I6, clic I2 pour selectionner Point, perception intersection I10, déplacement sur un point précis I6, clic I2 pour poser le point sur l'endroit donné;;2;0;0;0;2;0;1;0;;
Intersection;4;op_pt_inter_out_inter;placer un point intersection avec outil intersection;Placer un point d'intersection entre deux droites ou deux segments;Avec intersection,mettre une des droites en surbrillance, cliquer dessus, déplacer la souris vers l'autre droite, quand elle est en surbrillance, cliquer, le point d'intersection se place entre les deux droites;placement pointeur sur flèche I6, clic pour ouvrir la pile I2, déplacement sur Intersection I6, clic I2 pour sélectionner l'outil, viser le premier objet géométrique et se placer dessus I6, cliquer quand il est en surbrillance I2, déplacer la souris sur le deuxième objet I6, cliquer quand il est en surbrillance I2,;0;4;0;0;0;4;0;0;0;;
Milieu;5;op_pt_milieu_perc;placer un point au milieu d’un segment (perception);placer un point au milieu à la volée;avec l'outil point, placer un point au milieu (contrôle visuel) d'un segment;placement pointeur sur Point I6, clic I2  pour selectionner Point, déplacement sur le milieu du segment I6, contrôle perceptif du milieu, I9, clic I2 pour poser le point;0;2;;;0;2;1;;;;
Milieu;6;op_pt_milieu_out_milieu;placer le point milieu du segment avec outil milieu;avec outil milieu, placer le milieu;avec outil milieu, placer le point au milieu d'un segment;placement pointeur sur flèche I6, clic pour ouvrir I2 déplacement sur milieu I6 clic pour sélectionner I2  déplacement sur le segment I6 , clic I2 pour poser milieu;0;3;;;0;3;;;;;
Nombre;7;op_nbre;Nombre (par nombre);Ecrire un nombre;Avec nombre, placer la case dans l'espace de travail et inscrire un nombre;Aller sur la pile I6 clic sur la flèche I2 déplacement sur nombre I6 clic I2 sur nombre pour l'activer, déplacement dans l'espace de travail I5  écrire le nombre (I1?) valider (I1?) avec entrée;2;2;;;1;2;;;;;
Texte;8;op_nbre_txt;Nombre (par texte);Ecrire un nombre avec outil texte;Avec texte, placer la case dans l'espace de travail et inscrire un nombre. Procédure qui ne fonctionne pas;Aller sur la pile I6 clic sur la flèche I2 déplacement sur texte I6 clic I2  pour l'activer, déplacement dans l'espace de travail I5  écrire le nombre (I1?) valider (I1?) avec entrée;2;2;;;1;2;;;;;
Curseur;9;op_curseur;Curseur;Placer un curseur;Avec curseur, placer un curseur sur l'espace ensuite ajuster le curseur à l'aide de la souris;Aller sur la pile I6 clic sur la flèche I2 déplacement sur curseur I6 clic I2 sur pour l'activer, déplacement dans l'espace de travail I5  clic pour poser le curseur i1;1;2;0;;1;2;0;0;0;;
